Trade_ID,Direction,Entry_Time,Exit_Time,Hold_Bars,Entry_Price,Exit_Price,Exit_Reason,PnL_Percent,MFE_Percent
1,Long,2023-01-02 12:00:00,2023-01-02 19:00:00,7,16694.78,16728.52,Signal_Exit,0.2021,0.2563
2,Long,2023-01-07 04:00:00,2023-01-07 10:00:00,6,16934.28,16918.3,Fast_MA_Exit,-0.0944,0.0816
3,Long,2023-01-08 23:00:00,2023-01-09 07:00:00,8,17184.51,17191.68,Time_Exit,0.0417,0.2443
4,Long,2023-01-09 11:00:00,2023-01-09 19:00:00,8,17249.06,17221.29,Trailing_Stop,-0.161,0.6255
5,Long,2023-01-11 02:00:00,2023-01-11 07:00:00,5,17416.14,17447.6,Signal_Exit,0.1806,0.1806
6,Long,2023-01-11 23:00:00,2023-01-12 04:00:00,5,18264.1,18087.54,SL_Hit,-0.9667,0.0
7,Long,2023-01-12 06:00:00,2023-01-12 09:00:00,3,18138.22,18185.6,Signal_Exit,0.2612,0.2612
8,Long,2023-01-12 14:00:00,2023-01-12 16:00:00,2,18086.62,18837.06,TP_Hit,4.1492,4.1492
9,Long,2023-01-12 14:00:00,2023-01-13 12:00:00,22,18086.62,18854.84,Fast_MA_Exit,4.2475,5.3207
10,Long,2023-01-14 04:00:00,2023-01-14 08:00:00,4,20841.62,20523.75,Signal_Exit,-1.5252,0.776
11,Long,2023-01-15 00:00:00,2023-01-15 01:00:00,1,20770.29,20672.91,Fast_MA_Exit,-0.4688,0.0
12,Long,2023-01-15 03:00:00,2023-01-15 04:00:00,1,20698.14,20749.76,Fast_MA_Exit,0.2494,0.2494
13,Long,2023-01-15 08:00:00,2023-01-15 09:00:00,1,20750.59,20732.83,Fast_MA_Exit,-0.0856,0.0
14,Long,2023-01-17 22:00:00,2023-01-17 23:00:00,1,21134.81,21202.97,Fast_MA_Exit,0.3225,0.3225
15,Long,2023-01-18 10:00:00,2023-01-18 14:00:00,4,21204.67,21042.73,Trailing_Stop,-0.7637,1.0358
16,Long,2023-01-20 20:00:00,2023-01-21 08:00:00,12,22315.41,23037.49,TP_Hit,3.2358,3.2358
17,Long,2023-01-20 20:00:00,2023-01-21 21:00:00,25,22315.41,22759.71,Trailing_Stop,1.991,4.28
18,Long,2023-01-22 16:00:00,2023-01-22 17:00:00,1,22922.34,22838.0,Fast_MA_Exit,-0.3679,0.0
19,Long,2023-01-25 02:00:00,2023-01-25 03:00:00,1,22643.61,22624.83,Fast_MA_Exit,-0.0829,0.0
20,Long,2023-01-26 00:00:00,2023-01-26 08:00:00,8,23163.24,22970.7,Time_Exit,-0.8312,0.0695
21,Long,2023-01-26 17:00:00,2023-01-26 21:00:00,4,23037.16,23003.79,Fast_MA_Exit,-0.1449,0.3273
22,Long,2023-01-29 10:00:00,2023-01-29 11:00:00,1,23432.17,23478.21,Signal_Exit,0.1965,0.1965
23,Long,2023-01-30 13:00:00,2023-01-30 14:00:00,1,23287.7,23178.51,Fast_MA_Exit,-0.4689,0.0
24,Long,2023-02-02 00:00:00,2023-02-02 08:00:00,8,23950.55,23830.91,Time_Exit,-0.4995,0.0
25,Long,2023-02-02 14:00:00,2023-02-02 15:00:00,1,23839.5,23790.35,Fast_MA_Exit,-0.2062,0.0
26,Long,2023-02-03 04:00:00,2023-02-03 05:00:00,1,23523.58,23513.55,Fast_MA_Exit,-0.0426,0.0
27,Long,2023-02-03 07:00:00,2023-02-03 08:00:00,1,23423.52,23423.17,Fast_MA_Exit,-0.0015,0.0
28,Long,2023-02-04 03:00:00,2023-02-04 04:00:00,1,23337.71,23312.38,Fast_MA_Exit,-0.1085,0.0
29,Long,2023-02-04 08:00:00,2023-02-04 09:00:00,1,23340.02,23335.83,Fast_MA_Exit,-0.0179,0.0
30,Long,2023-02-08 06:00:00,2023-02-08 09:00:00,3,23232.68,23159.81,Fast_MA_Exit,-0.3136,0.0
31,Long,2023-02-15 21:00:00,2023-02-16 14:00:00,17,24151.6,25072.67,TP_Hit,3.8137,3.8137
32,Long,2023-02-15 21:00:00,2023-02-16 19:00:00,22,24151.6,24565.36,Trailing_Stop,1.7132,3.8137
33,Long,2023-02-16 22:00:00,2023-02-16 23:00:00,1,23517.72,23713.37,Fast_MA_Exit,0.8319,0.8319
34,Long,2023-02-17 01:00:00,2023-02-17 02:00:00,1,23772.31,23838.64,Fast_MA_Exit,0.279,0.279
35,Long,2023-02-17 04:00:00,2023-02-17 05:00:00,1,23707.55,23668.1,Fast_MA_Exit,-0.1664,0.0
36,Long,2023-02-17 07:00:00,2023-02-17 08:00:00,1,23797.21,23743.22,Fast_MA_Exit,-0.2269,0.0
37,Long,2023-03-12 20:00:00,2023-03-12 22:00:00,2,21272.4,21997.11,TP_Hit,3.4068,3.4068
38,Long,2023-03-12 20:00:00,2023-03-13 08:00:00,12,21272.4,21963.37,Trailing_Stop,3.2482,5.5768
39,Long,2023-03-13 10:00:00,2023-03-13 13:00:00,3,22106.64,23484.63,TP_Hit,6.2334,6.2334
40,Long,2023-03-13 10:00:00,2023-03-14 17:00:00,31,22106.64,24990.18,Trailing_Stop,13.0438,17.1353
41,Long,2023-03-14 20:00:00,2023-03-14 21:00:00,1,24535.95,24698.39,Fast_MA_Exit,0.6621,0.6621
42,Long,2023-03-17 13:00:00,2023-03-17 23:00:00,10,26283.0,27627.51,TP_Hit,5.1155,5.1155
